,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-01-06 00:00:00,1.693920011289072,1.3353462930244029,2.071237757989955,1.9854151481905489,2021-01-05 21:00:00
1,2021-01-06 03:00:00,1.6993837833316192,1.3168020014831494,2.089828062325127,1.9519686432237497,2021-01-05 21:00:00
2,2021-01-06 06:00:00,1.7042387255225055,1.3312266861810678,2.100548735616743,2.3168396064979206,2021-01-05 21:00:00
3,2021-01-06 09:00:00,1.629767142553757,1.221212482633586,2.0176621901169938,1.9168329208343853,2021-01-05 21:00:00
4,2021-01-06 12:00:00,1.5123398500953789,1.1434489760010318,1.9143889296631476,1.825784101758099,2021-01-05 21:00:00
5,2021-01-06 15:00:00,1.4675892320873125,1.082340134697129,1.86219140810346,1.8362572497780059,2021-01-05 21:00:00
6,2021-01-06 18:00:00,1.8315592616321825,1.4562717331555148,2.1956155055275874,2.3540023897943643,2021-01-05 21:00:00
7,2021-01-06 21:00:00,1.9861529336185573,1.6110623661903403,2.372630613838552,2.236432857183798,2021-01-05 21:00:00
8,2021-01-07 00:00:00,1.7244030454809307,1.3521337216599003,2.081030107534046,1.9489280518631318,2021-01-05 21:00:00
9,2021-01-07 03:00:00,1.7382604635479613,1.3595674307768466,2.112959911745421,1.9389616690699947,2021-01-05 21:00:00
10,2021-01-07 06:00:00,1.75767907475946,1.3405744017840957,2.105370526429721,2.260926509810999,2021-01-05 21:00:00
11,2021-01-07 09:00:00,1.7138871722716797,1.3286972171321498,2.0886741479254445,2.3288330501981367,2021-01-05 21:00:00
12,2021-01-07 12:00:00,1.6138179488081186,1.2464727962132423,2.0247171392516603,2.13761363796371,2021-01-05 21:00:00
13,2021-01-07 15:00:00,1.5522764102074476,1.186540404209414,1.9216265268368344,2.114978124501331,2021-01-05 21:00:00
14,2021-01-07 18:00:00,1.8653133673291458,1.4757408383548305,2.2467281257570475,2.2751159361605504,2021-01-05 21:00:00
15,2021-01-07 21:00:00,1.9853377308468798,1.614780409810605,2.3527282586757603,2.113626750563278,2021-01-05 21:00:00
16,2021-01-08 00:00:00,1.7069315406310717,1.3483799415462057,2.1275930207932636,2.1190322463154883,2021-01-05 21:00:00
17,2021-01-08 03:00:00,1.7458884827515564,1.3719135829212614,2.1305438950733024,2.1050117417081937,2021-01-05 21:00:00
18,2021-01-08 06:00:00,1.7850679697084404,1.4115824349845782,2.157861999361739,2.5555260283064407,2021-01-05 21:00:00
19,2021-01-08 09:00:00,1.733936097689887,1.324954933597078,2.1281326161353284,2.35569160721693,2021-01-05 21:00:00
20,2021-01-08 12:00:00,1.620354625847586,1.2425180163220266,1.9905607177246178,2.1431880554581766,2021-01-05 21:00:00
21,2021-01-08 15:00:00,1.5468832899387728,1.15683538886074,1.934530735549674,2.0965656545953655,2021-01-05 21:00:00
22,2021-01-08 18:00:00,1.8564108215964912,1.496070944122573,2.230025272663295,2.5521475934613096,2021-01-05 21:00:00
23,2021-01-08 21:00:00,1.9302112696511415,1.5498388516429769,2.290843350368275,2.3649823030410406,2021-01-05 21:00:00
24,2021-01-09 00:00:00,1.5552561198507546,1.1893465945660853,1.950700548104883,1.8431830412105248,2021-01-05 21:00:00
25,2021-01-09 03:00:00,1.4542174916814696,1.0855527250070536,1.8648353907726085,1.809229771016956,2021-01-05 21:00:00
26,2021-01-09 06:00:00,1.3854307980779486,1.014527632843848,1.7778346440093178,2.151803064313261,2021-01-05 21:00:00
27,2021-01-09 09:00:00,1.3024281449139887,0.9217174280173362,1.7084879042008672,1.7963917186054574,2021-01-05 21:00:00
28,2021-01-09 12:00:00,1.225159275257783,0.835324276670131,1.6115887773925741,1.6524703942028678,2021-01-05 21:00:00
29,2021-01-09 15:00:00,1.2041605749712003,0.8143447708934829,1.5992180232840612,1.6313551764207976,2021-01-05 21:00:00
30,2021-01-09 18:00:00,1.541386672571929,1.1663513429661412,1.9856943824694209,2.203999882670538,2021-01-05 21:00:00
31,2021-01-09 21:00:00,1.6170603857755097,1.2396480940232748,1.997321439526692,2.084234367410637,2021-01-05 21:00:00
32,2021-01-10 00:00:00,1.2719880018272527,0.8805237169376973,1.6550541394655458,1.5465564618080043,2021-01-05 21:00:00
33,2021-01-10 03:00:00,1.1836785377928507,0.7981061099903556,1.5304362134483749,1.5083801480580217,2021-01-05 21:00:00
34,2021-01-10 06:00:00,1.1142379694988158,0.7478342120260459,1.5110586160766124,1.8249394930468161,2021-01-05 21:00:00
35,2021-01-10 09:00:00,0.9972192064401286,0.6276785783510717,1.3780464597136344,1.2953698310724986,2021-01-05 21:00:00
36,2021-01-10 12:00:00,0.8493225728928215,0.48285705665993855,1.2453204388628398,1.1970573770791804,2021-01-05 21:00:00
37,2021-01-10 15:00:00,0.8097657875548088,0.4443093300970247,1.1891332034422797,1.158374298102428,2021-01-05 21:00:00
38,2021-01-10 18:00:00,1.2445196117914783,0.8447159138840652,1.6134638595192103,1.843858728179551,2021-01-05 21:00:00
39,2021-01-10 21:00:00,1.5724959949053654,1.2121285625956066,1.9524634371621914,1.7918308315645304,2021-01-05 21:00:00
40,2021-01-11 00:00:00,1.4808202724004884,1.111440109971573,1.8644388637152225,2.061767775690514,2021-01-05 21:00:00
41,2021-01-11 03:00:00,1.6419851124203255,1.2922167679093968,2.0240418915144582,1.9078800684947874,2021-01-05 21:00:00
42,2021-01-11 06:00:00,1.7054995895372624,1.3305141194148846,2.1120097350054534,3.5788539428966852,2021-01-05 21:00:00
43,2021-01-11 09:00:00,1.628976911265138,1.2545796547839805,2.0112279113242217,1.9477455996673358,2021-01-05 21:00:00
