,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-01-06 00:00:00,40141.61648500721,38204.670139134934,42375.34046899693,40627.0,2021-01-05 21:00:00
1,2021-01-06 03:00:00,39801.66449985731,37505.67579175417,42061.168728939505,40429.0,2021-01-05 21:00:00
2,2021-01-06 06:00:00,42266.745629820296,39922.86140347484,44504.606420598066,42589.0,2021-01-05 21:00:00
3,2021-01-06 09:00:00,39969.61795003427,37665.06878335705,42197.64689337438,40221.0,2021-01-05 21:00:00
4,2021-01-06 12:00:00,39063.37555935965,36962.19603102221,41377.64352803845,39682.0,2021-01-05 21:00:00
5,2021-01-06 15:00:00,38904.276328193664,36597.218939817896,41150.398386136,39744.0,2021-01-05 21:00:00
6,2021-01-06 18:00:00,42788.460763174946,40574.16025670465,44839.80709809332,42809.0,2021-01-05 21:00:00
7,2021-01-06 21:00:00,41861.63789883921,39758.775258069,44313.837466078556,42113.0,2021-01-05 21:00:00
8,2021-01-07 00:00:00,40446.926181888026,38335.48789579373,42623.000828479046,40411.0,2021-01-05 21:00:00
9,2021-01-07 03:00:00,40130.602232345314,37880.24364058367,42316.7316238357,40352.0,2021-01-05 21:00:00
10,2021-01-07 06:00:00,42675.37701209988,40419.2389090699,44802.59775423235,42258.0,2021-01-05 21:00:00
11,2021-01-07 09:00:00,40558.863071266234,38545.322619218,42843.58210160227,42660.0,2021-01-05 21:00:00
12,2021-01-07 12:00:00,39754.79131558037,37564.614659831546,41930.378388435165,41528.0,2021-01-05 21:00:00
13,2021-01-07 15:00:00,39498.62339200378,37309.06202146349,41680.84645550078,41394.0,2021-01-05 21:00:00
14,2021-01-07 18:00:00,43113.31379569293,40919.66088517567,45305.43602604354,42342.0,2021-01-05 21:00:00
15,2021-01-07 21:00:00,42032.840291772955,39803.41964140459,44083.70684836559,41386.0,2021-01-05 21:00:00
16,2021-01-08 00:00:00,40561.01415864598,38449.91233531381,42926.22504599538,41418.0,2021-01-05 21:00:00
17,2021-01-08 03:00:00,40422.299252567645,38107.385774933,42568.752445367354,41335.0,2021-01-05 21:00:00
18,2021-01-08 06:00:00,43087.83702097166,40877.81220300485,45370.96422891647,44002.0,2021-01-05 21:00:00
19,2021-01-08 09:00:00,40927.008047631985,38813.406044544936,43220.778463846116,42819.0,2021-01-05 21:00:00
20,2021-01-08 12:00:00,40066.241277545356,37974.431191604475,42406.07205339578,41561.0,2021-01-05 21:00:00
21,2021-01-08 15:00:00,39751.56411786437,37708.370869302584,41892.68453137683,41285.0,2021-01-05 21:00:00
22,2021-01-08 18:00:00,43316.158640142115,41186.465776442725,45478.97065246409,43982.0,2021-01-05 21:00:00
23,2021-01-08 21:00:00,41882.538463420104,39568.80785888931,44220.651214987956,42874.0,2021-01-05 21:00:00
24,2021-01-09 00:00:00,39739.97470549608,37453.40583860884,41909.91337568773,39785.0,2021-01-05 21:00:00
25,2021-01-09 03:00:00,38689.65019527272,36423.39425269772,40894.33411426583,39584.0,2021-01-05 21:00:00
26,2021-01-09 06:00:00,40698.628528728754,38417.23423277203,42929.90482432634,41612.0,2021-01-05 21:00:00
27,2021-01-09 09:00:00,38368.12606806523,36172.022230802155,40460.6873514917,39508.0,2021-01-05 21:00:00
28,2021-01-09 12:00:00,37738.3426886756,35707.16292310921,40008.62669167505,38656.0,2021-01-05 21:00:00
29,2021-01-09 15:00:00,37732.73832093078,35464.75951488875,39919.943068812936,38531.0,2021-01-05 21:00:00
30,2021-01-09 18:00:00,41455.49924579776,39351.230580862655,43613.07726340514,41921.0,2021-01-05 21:00:00
31,2021-01-09 21:00:00,40057.11047303476,37803.460828041105,42261.119134555796,41212.0,2021-01-05 21:00:00
32,2021-01-10 00:00:00,38165.514028781065,35839.14713676641,40410.832972723394,38029.0,2021-01-05 21:00:00
33,2021-01-10 03:00:00,37268.925172479605,35120.925872571715,39415.486470353506,37803.0,2021-01-05 21:00:00
34,2021-01-10 06:00:00,39314.94918219681,37126.441232212615,41580.43444688226,39677.0,2021-01-05 21:00:00
35,2021-01-10 09:00:00,36782.677916488115,34483.40245772017,39013.66897153482,36542.0,2021-01-05 21:00:00
36,2021-01-10 12:00:00,35716.628550615234,33577.39525367426,37843.74394895125,35960.0,2021-01-05 21:00:00
37,2021-01-10 15:00:00,35593.23331565072,33212.955651337244,37826.22182426751,35731.0,2021-01-05 21:00:00
38,2021-01-10 18:00:00,39918.74801847458,37712.12526601749,42141.706242550965,39789.0,2021-01-05 21:00:00
39,2021-01-10 21:00:00,40056.028206718984,37788.92531921896,42329.784561035915,39481.0,2021-01-05 21:00:00
40,2021-01-11 00:00:00,39671.765538005886,37454.77061808742,41864.94819621555,41079.0,2021-01-05 21:00:00
41,2021-01-11 03:00:00,40244.831815730184,38047.497381786525,42493.19540026561,40168.0,2021-01-05 21:00:00
42,2021-01-11 06:00:00,43061.0004699389,40897.36268716271,45343.962012748874,50060.0,2021-01-05 21:00:00
43,2021-01-11 09:00:00,40761.30523897666,38658.175135116035,42944.96890548704,40404.0,2021-01-05 21:00:00
44,2021-01-11 12:00:00,39832.127846366304,37620.69966199942,41883.95429618506,35639.0,2021-01-05 21:00:00
45,2021-01-11 15:00:00,39539.50740318638,37310.95308724335,41772.36066028461,34569.0,2021-01-05 21:00:00
46,2021-01-11 18:00:00,43544.97999069009,41523.76409431496,45639.09154226565,50269.0,2021-01-05 21:00:00
47,2021-01-11 21:00:00,42781.60087928848,40461.19843220276,44832.336798230055,46104.0,2021-01-05 21:00:00
48,2021-01-12 00:00:00,41442.44321863931,39216.598960104246,43765.49165133506,39766.0,2021-01-05 21:00:00
49,2021-01-12 03:00:00,41269.68047915574,39069.08672789825,43415.44815671186,38376.0,2021-01-05 21:00:00
50,2021-01-12 06:00:00,43820.76306731701,41567.88068801574,45993.46040124293,46152.0,2021-01-05 21:00:00
51,2021-01-12 09:00:00,41670.75767785733,39525.995282668315,43978.86459739676,45423.0,2021-01-05 21:00:00
52,2021-01-12 12:00:00,41324.90146141384,39237.40008283987,43509.849557755806,41776.0,2021-01-05 21:00:00
53,2021-01-12 15:00:00,41123.45598106696,38918.20979134644,43396.01237729547,41154.0,2021-01-05 21:00:00
54,2021-01-12 18:00:00,44520.35189894569,42274.9747627528,46715.533113615915,45633.0,2021-01-05 21:00:00
55,2021-01-12 21:00:00,43500.0579836097,41152.390361073005,45705.21012915172,40407.0,2021-01-05 21:00:00
56,2021-01-13 00:00:00,41947.6685989097,39726.50655422749,44197.37702016671,36013.0,2021-01-05 21:00:00
57,2021-01-13 03:00:00,41765.555783475094,39706.77058334979,44093.438668422816,34741.0,2021-01-05 21:00:00
58,2021-01-13 06:00:00,44200.332254624394,41909.2217047315,46419.68570186652,41930.0,2021-01-05 21:00:00
59,2021-01-13 09:00:00,41774.57411249192,39663.68852143471,43845.25444590036,39307.0,2021-01-05 21:00:00
60,2021-01-13 12:00:00,40747.702660367926,38669.78027106477,42678.566259221145,35460.0,2021-01-05 21:00:00
61,2021-01-13 15:00:00,41098.59316068783,39043.05442109832,43370.792257843925,35807.0,2021-01-05 21:00:00
62,2021-01-13 18:00:00,44516.54497020285,42126.28373276908,46820.60193992767,42814.0,2021-01-05 21:00:00
63,2021-01-13 21:00:00,43795.41386032772,41606.54609968073,46159.60455249564,38387.0,2021-01-05 21:00:00
64,2021-01-14 00:00:00,42531.572021226726,40406.000787195444,44767.42148955575,34698.0,2021-01-05 21:00:00
65,2021-01-14 03:00:00,42127.49023046522,39987.08242112867,44305.59809679911,33837.0,2021-01-05 21:00:00
66,2021-01-14 06:00:00,44647.270489419316,42547.70965495474,46759.75493679096,41794.0,2021-01-05 21:00:00
67,2021-01-14 09:00:00,42346.20198246822,40092.72492813315,44497.23231673937,40046.0,2021-01-05 21:00:00
68,2021-01-14 12:00:00,41594.49368149569,39393.27984089574,43728.991729491565,36751.0,2021-01-05 21:00:00
69,2021-01-14 15:00:00,41870.71107278809,39597.074530583384,44145.43208848845,37100.0,2021-01-05 21:00:00
70,2021-01-14 18:00:00,44995.006341505854,42599.08870195642,47219.230205021784,42580.0,2021-01-05 21:00:00
71,2021-01-14 21:00:00,44105.70039289307,41873.568067854474,46454.03316366488,38069.0,2021-01-05 21:00:00
72,2021-01-15 00:00:00,42691.33325018381,40565.81286516541,44997.95858835029,34199.0,2021-01-05 21:00:00
73,2021-01-15 03:00:00,42558.1440730907,40376.91850711321,44919.65959052291,33342.0,2021-01-05 21:00:00
74,2021-01-15 06:00:00,45237.56500811946,43028.595658160455,47334.70405835859,41517.0,2021-01-05 21:00:00
75,2021-01-15 09:00:00,43139.34033554698,40990.86627535412,45355.623490251106,39974.0,2021-01-05 21:00:00
76,2021-01-15 12:00:00,42248.53350998642,40232.81385425008,44565.606689661945,36517.0,2021-01-05 21:00:00
77,2021-01-15 15:00:00,41905.539726979085,39852.13026315188,44184.60242369534,36350.0,2021-01-05 21:00:00
78,2021-01-15 18:00:00,45312.13472836821,43343.61545887457,47724.57366782914,42911.0,2021-01-05 21:00:00
79,2021-01-15 21:00:00,44105.67941923618,41924.622863295124,46329.48870390572,38861.0,2021-01-05 21:00:00
80,2021-01-16 00:00:00,42383.75849008313,40291.55742645846,44732.19006473624,36233.0,2021-01-05 21:00:00
81,2021-01-16 03:00:00,41420.44404118315,39235.066011800925,43698.42595832879,35958.0,2021-01-05 21:00:00
82,2021-01-16 06:00:00,43418.01663341434,41330.987253538406,45689.50059576383,41912.0,2021-01-05 21:00:00
83,2021-01-16 09:00:00,41134.46902435678,38999.87180891969,43289.29371610419,37588.0,2021-01-05 21:00:00
84,2021-01-16 12:00:00,40394.754047994866,38186.70678432675,42540.61491502386,33825.0,2021-01-05 21:00:00
85,2021-01-16 15:00:00,40403.021632902084,38129.75393681092,42554.848589584515,32797.0,2021-01-05 21:00:00
86,2021-01-16 18:00:00,43918.64596920191,41616.73692026186,46109.016342104864,40658.0,2021-01-05 21:00:00
87,2021-01-16 21:00:00,42878.4579123267,40670.72538618045,45070.485951314105,38947.0,2021-01-05 21:00:00
