,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,9 days 00:00:00,11085990.16656386,3329.563059406423,2805.8233445398114,0.10289631056317912,0.0947332700635033,0.10057300512653694,0.4936635944700463
1,9 days 03:00:00,11286245.130129078,3359.500726317689,2833.74407230263,0.10399122681317284,0.09583123600802985,0.10156438572969376,0.4855990783410138
2,9 days 06:00:00,11497474.987308502,3390.7926783140992,2863.2323700578095,0.10511241818410821,0.09657415006846362,0.10259913578718949,0.4827188940092164
3,9 days 09:00:00,11717771.428512977,3423.12305190932,2889.8690222865334,0.10634948402270747,0.0972512397310128,0.10363366889087304,0.4772465437788019
4,9 days 12:00:00,11891499.775637446,3448.4053960689494,2910.6897808702993,0.10725107304219654,0.09786481217695459,0.10439933036552965,0.47321428571428553
5,9 days 15:00:00,12049568.460699352,3471.2488330137544,2930.9514492643957,0.10815107701366801,0.09837401924688127,0.10516974372320624,0.4709101382488479
6,9 days 18:00:00,12163069.469830818,3487.5592424833185,2946.6478115039095,0.10888797553863472,0.09885487320052133,0.10583241891060416,0.4706221198156682
7,9 days 21:00:00,12313219.921441676,3509.019794962929,2959.6911864786675,0.10961202028085484,0.09863281924109438,0.10637316424604545,0.47062211981566804
8,10 days 00:00:00,12477704.175999044,3532.379392986977,2979.2274619506,0.11036882634364131,0.09885487320052133,0.10698433247820303,0.4668778801843318
9,10 days 03:00:00,12426903.93742118,3525.181404895524,2980.6704715492283,0.11057295208436514,0.09863281924109438,0.10705837457645381,0.4631336405529954
10,10 days 06:00:00,12528223.39401455,3539.5230461199926,2996.1857155228954,0.11117672661880805,0.09863281924109438,0.10762433395344725,0.46428571428571414
11,10 days 09:00:00,12682941.460492121,3561.3117612043065,3016.669044690078,0.11199837261822483,0.09967746830350653,0.10833815848485588,0.4605414746543776
12,10 days 12:00:00,12777334.365577694,3574.5397417818276,3028.5607414259325,0.11247232915729587,0.09967746830350653,0.10875473447064464,0.4591013824884791
13,10 days 15:00:00,12871517.721641975,3587.6897471272478,3039.189827263448,0.11285797338855348,0.09967746830350653,0.10908496221091753,0.455069124423963
14,10 days 18:00:00,12922351.58027954,3594.767249806243,3048.7355694544167,0.11310017246039925,0.09967746830350653,0.10936372011602738,0.4524769585253454
15,10 days 21:00:00,12853670.561388148,3585.2016067981654,3044.5169743983097,0.11319909075051503,0.09897722308657853,0.10928658489781254,0.4524769585253454
16,11 days 00:00:00,12969022.944799926,3601.2529687318447,3056.3715068374663,0.11363238317009514,0.10070141129927859,0.10962790280821949,0.4521889400921658
17,11 days 03:00:00,12984358.18825249,3603.3814935769,3054.743119562079,0.11365933385717954,0.09897722308657853,0.10955259957532079,0.4562211981566821
18,11 days 06:00:00,13020193.846960954,3608.350571516154,3058.08008034031,0.11386733983083096,0.09897722308657853,0.10968127518874168,0.4565092165898616
19,11 days 09:00:00,13074850.422674512,3615.9162632276916,3063.1629834535597,0.11424091729622332,0.10070141129927859,0.10990770697268264,0.4547811059907835
20,11 days 12:00:00,13198546.049716556,3632.9803260844333,3078.632905222335,0.11479545424332463,0.10216529082051498,0.11038004082710154,0.45046082949308763
21,11 days 15:00:00,13363880.850170769,3655.664214636072,3098.3380059301326,0.11555413064123894,0.10227540354062055,0.11103201936758243,0.44786866359447
22,11 days 18:00:00,13527057.985077959,3677.914896388708,3119.55477998128,0.11642115134743043,0.10227540354062055,0.11183704519089105,0.445852534562212
23,11 days 21:00:00,13601452.43618404,3688.0147011887084,3124.131204895367,0.11679338834900357,0.10245260591271274,0.1120954181648051,0.44671658986175133
24,12 days 00:00:00,13737439.0070631,3706.4051326134195,3139.7302807157903,0.11733646150072172,0.10305818765948652,0.11260912116433237,0.44527649769585254
25,12 days 03:00:00,13812243.492872829,3716.482677596228,3152.0764375477984,0.11781021933468985,0.10305818765948652,0.11308150364558636,0.4418202764976959
26,12 days 06:00:00,13893036.3637253,3727.336363105066,3163.938581926695,0.11821301590377488,0.10382571726744029,0.11352023837479527,0.43778801843317977
27,12 days 09:00:00,13971873.301169578,3737.8969088472168,3172.793225193143,0.1187568568643392,0.1069183969992264,0.11398114246183395,0.4351958525345624
28,12 days 12:00:00,14014553.632741626,3743.6016925871836,3174.845320208427,0.11885170265439454,0.10825089170348953,0.11409101260547136,0.4357718894009217
29,12 days 15:00:00,14073692.708919093,3751.4920643550736,3181.685881248975,0.11911854421709815,0.10825089170348953,0.11437695412466355,0.4357718894009218
30,12 days 18:00:00,14079757.266742194,3752.300263404062,3183.7568121962545,0.11916774900573102,0.10825089170348953,0.11450387860948852,0.440668202764977
31,12 days 21:00:00,14128415.98566616,3758.7785230931286,3190.0271429796735,0.1196020441602687,0.10848594075207105,0.11486556866621617,0.4426843317972351
32,13 days 00:00:00,14333949.191285638,3786.0202312303663,3215.0340242991538,0.12030233503662764,0.10848594075207105,0.11560863842703492,0.43922811059907857
33,13 days 03:00:00,14342485.320914252,3787.147385686785,3219.7210590955774,0.12042236469732484,0.11000072651559592,0.11571619172000386,0.4377880184331796
34,13 days 06:00:00,14359271.833181383,3789.3629851442556,3226.7549975262,0.12064138575305663,0.1120647762776939,0.11595079420940706,0.4357718894009219
35,13 days 09:00:00,14373860.495156072,3791.2874455989318,3230.1675708438515,0.12081736735255119,0.1120647762776939,0.11610057142154166,0.43577188940092176
36,13 days 12:00:00,14379485.921156082,3792.029261642911,3234.9133135615157,0.12093724987097147,0.1120647762776939,0.11623291554465118,0.43375576036866365
37,13 days 15:00:00,14403828.970282715,3795.2376698018156,3242.6625256338707,0.12116030310527719,0.1120647762776939,0.1164716970496511,0.4317396313364054
38,13 days 18:00:00,14369549.827490708,3790.718906420088,3243.2300351087247,0.12110235023536564,0.11251866200362652,0.11647684391219318,0.4317396313364054
39,13 days 21:00:00,14316097.144339865,3783.661869715615,3236.9750739236024,0.12091757086558802,0.11251866200362652,0.11626825142120577,0.43116359447004604
40,14 days 00:00:00,14343722.213619318,3787.3106835351277,3242.9265666569845,0.12102041608208995,0.11316999058935881,0.11633026737372311,0.42914746543778787
41,14 days 03:00:00,14384387.357037453,3792.675487968547,3249.8228797151755,0.12120963741065849,0.11316999058935881,0.11645013893133985,0.42713133640552997
42,14 days 06:00:00,14284945.857504714,3779.543075228104,3251.606413779526,0.1214183793013688,0.11576134401144011,0.1165892909271761,0.4236751152073732
43,14 days 09:00:00,14297190.716433471,3781.16261438641,3259.2140873987532,0.12182202734984693,0.11576134401144011,0.11688551993912406,0.4230990783410137
44,14 days 12:00:00,14365868.82948906,3790.2333476303356,3270.4708893535253,0.12208720988543335,0.11652635977826278,0.1171141477058145,0.42103494623655907
45,14 days 15:00:00,14415297.711069232,3796.7483075744212,3277.139450881288,0.12221369610336975,0.11708364328265672,0.11722846017504611,0.42050691244239624
46,14 days 18:00:00,14212642.09346238,3769.9657947337373,3266.511122275542,0.12201409390217385,0.11708364328265672,0.1170136033824891,0.4205069124423961
