,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-01-06 00:00:00,38774.73021040078,36792.087276613864,40875.39590385511,40627.0,2021-01-05 21:00:00
1,2021-01-06 03:00:00,38879.387939342894,36827.00682213828,40912.222474317605,40429.0,2021-01-05 21:00:00
2,2021-01-06 06:00:00,39033.13708834346,37144.67360667129,41163.39928697085,42589.0,2021-01-05 21:00:00
3,2021-01-06 09:00:00,38512.89988565653,36551.58711243949,40630.41277261231,40221.0,2021-01-05 21:00:00
4,2021-01-06 12:00:00,37779.83099361284,35737.82472704234,39923.9725144588,39682.0,2021-01-05 21:00:00
5,2021-01-06 15:00:00,37595.520029220956,35606.10366008713,39553.18513201973,39744.0,2021-01-05 21:00:00
6,2021-01-06 18:00:00,39678.971703193485,37728.7661446662,41735.27584293844,42809.0,2021-01-05 21:00:00
7,2021-01-06 21:00:00,40506.992432078856,38439.57677485989,42631.58850877828,42113.0,2021-01-05 21:00:00
8,2021-01-07 00:00:00,39013.28500407663,36948.21659393055,40989.84979803969,40411.0,2021-01-05 21:00:00
9,2021-01-07 03:00:00,39240.20335124244,37227.804349473896,41304.74778080081,40352.0,2021-01-05 21:00:00
10,2021-01-07 06:00:00,39170.70672461432,37131.43668310769,41148.2180830905,42258.0,2021-01-05 21:00:00
11,2021-01-07 09:00:00,39156.07510362847,37028.17549459309,41132.76813347039,42660.0,2021-01-05 21:00:00
12,2021-01-07 12:00:00,38499.611471927405,36461.24711754925,40439.817352664686,41528.0,2021-01-05 21:00:00
13,2021-01-07 15:00:00,38206.32333605555,36341.86369928563,40360.13655595261,41394.0,2021-01-05 21:00:00
14,2021-01-07 18:00:00,39784.294298355424,37842.38357330735,41797.29513690059,42342.0,2021-01-05 21:00:00
15,2021-01-07 21:00:00,40663.53500869915,38652.336357970875,42636.54819818005,41386.0,2021-01-05 21:00:00
16,2021-01-08 00:00:00,38932.2077029981,37048.85443265786,40912.909208063946,41418.0,2021-01-05 21:00:00
17,2021-01-08 03:00:00,39048.209377323685,37035.47598028304,41084.84173454534,41335.0,2021-01-05 21:00:00
18,2021-01-08 06:00:00,39460.53994549973,37301.300204038154,41466.07419260936,44002.0,2021-01-05 21:00:00
19,2021-01-08 09:00:00,39100.778659344716,37166.24898866197,41054.99526850031,42819.0,2021-01-05 21:00:00
20,2021-01-08 12:00:00,38361.28230404612,36295.02738080895,40355.05294267161,41561.0,2021-01-05 21:00:00
21,2021-01-08 15:00:00,37961.63386061494,35934.78263867435,40058.39864252878,41285.0,2021-01-05 21:00:00
22,2021-01-08 18:00:00,39755.59466908731,37716.29265059442,41806.526325987055,43982.0,2021-01-05 21:00:00
23,2021-01-08 21:00:00,40461.56510432453,38265.405181528055,42520.6232334555,42874.0,2021-01-05 21:00:00
24,2021-01-09 00:00:00,37560.06935348229,35458.871385984035,39624.23130359582,39785.0,2021-01-05 21:00:00
25,2021-01-09 03:00:00,37625.24013918128,35777.450300285214,39608.306260974416,39584.0,2021-01-05 21:00:00
26,2021-01-09 06:00:00,37265.91006503995,35269.34732738666,39234.51015527405,41612.0,2021-01-05 21:00:00
27,2021-01-09 09:00:00,36667.61149941288,34726.127994342976,38770.324694252224,39508.0,2021-01-05 21:00:00
28,2021-01-09 12:00:00,36084.39547172327,34041.90025782251,38046.4125521245,38656.0,2021-01-05 21:00:00
29,2021-01-09 15:00:00,35789.13192254238,33739.52425827488,37876.75968897711,38531.0,2021-01-05 21:00:00
30,2021-01-09 18:00:00,38020.338491094815,35924.15767198235,40070.81300727578,41921.0,2021-01-05 21:00:00
31,2021-01-09 21:00:00,38816.2322679378,36761.578396403114,40759.69521898888,41212.0,2021-01-05 21:00:00
32,2021-01-10 00:00:00,35943.840358071764,33941.22361753204,37937.96382084799,38029.0,2021-01-05 21:00:00
33,2021-01-10 03:00:00,35951.25887166579,33840.0288558802,37953.287755709716,37803.0,2021-01-05 21:00:00
34,2021-01-10 06:00:00,35372.794599873996,33329.5774214955,37541.193975979695,39677.0,2021-01-05 21:00:00
35,2021-01-10 09:00:00,34291.73280265281,32461.83368376114,36362.10795373182,36542.0,2021-01-05 21:00:00
36,2021-01-10 12:00:00,33853.65850536442,32022.69440692968,35897.134309264446,35960.0,2021-01-05 21:00:00
37,2021-01-10 15:00:00,33555.33140007765,31481.61157672349,35699.77250482709,35731.0,2021-01-05 21:00:00
38,2021-01-10 18:00:00,36013.6440965624,34203.633714497,37969.09293560209,39789.0,2021-01-05 21:00:00
39,2021-01-10 21:00:00,37117.79868100349,34976.65224594057,39141.25464443045,39481.0,2021-01-05 21:00:00
40,2021-01-11 00:00:00,38122.507678257934,36162.001620788156,40215.28644699013,41079.0,2021-01-05 21:00:00
41,2021-01-11 03:00:00,38148.25801410786,36126.55358431857,40145.65554747633,40168.0,2021-01-05 21:00:00
42,2021-01-11 06:00:00,38387.90350834518,36373.31531029192,40467.79408290357,50060.0,2021-01-05 21:00:00
43,2021-01-11 09:00:00,37865.33615279544,35841.10455860698,39757.68587979564,40404.0,2021-01-05 21:00:00
44,2021-01-11 12:00:00,37332.36024027377,35401.5929203749,39414.34465391469,35639.0,2021-01-05 21:00:00
45,2021-01-11 15:00:00,37010.66925038825,35064.518855254704,39019.62419253966,34569.0,2021-01-05 21:00:00
46,2021-01-11 18:00:00,38996.614070761585,36931.80560984001,40938.091514262866,50269.0,2021-01-05 21:00:00
47,2021-01-11 21:00:00,39628.80436359607,37508.072644540865,41838.629242774936,46104.0,2021-01-05 21:00:00
48,2021-01-12 00:00:00,38719.14474205704,36789.00814403618,40682.181350831444,39766.0,2021-01-05 21:00:00
49,2021-01-12 03:00:00,38719.620892427025,36613.53309250187,40832.63401371431,38376.0,2021-01-05 21:00:00
50,2021-01-12 06:00:00,39029.88927268679,37062.34223403487,41121.857279730786,46152.0,2021-01-05 21:00:00
51,2021-01-12 09:00:00,38769.81176560868,36656.66696299059,40726.791507235226,45423.0,2021-01-05 21:00:00
52,2021-01-12 12:00:00,38102.06545073223,35994.25669307333,40147.71937967175,41776.0,2021-01-05 21:00:00
53,2021-01-12 15:00:00,37843.58690606221,35681.516545888626,39965.03618479119,41154.0,2021-01-05 21:00:00
54,2021-01-12 18:00:00,39476.05985449503,37464.70857233282,41508.73503492223,45633.0,2021-01-05 21:00:00
55,2021-01-12 21:00:00,40208.05801257878,38298.903058669515,42311.3687545298,40407.0,2021-01-05 21:00:00
56,2021-01-13 00:00:00,38223.98669275876,36063.527519396914,40098.030458200716,36013.0,2021-01-05 21:00:00
57,2021-01-13 03:00:00,38289.37873467774,36352.08603978225,40288.39156796181,34741.0,2021-01-05 21:00:00
58,2021-01-13 06:00:00,38407.29841618791,36283.44790829135,40525.68191632864,41930.0,2021-01-05 21:00:00
59,2021-01-13 09:00:00,37854.88314112356,35763.82790125708,39786.527484410624,39307.0,2021-01-05 21:00:00
60,2021-01-13 12:00:00,37093.49624134418,34991.876605700396,39106.72679999555,35460.0,2021-01-05 21:00:00
61,2021-01-13 15:00:00,36884.92856842422,34987.011845427536,38747.96729885332,35807.0,2021-01-05 21:00:00
62,2021-01-13 18:00:00,38948.37771485798,36938.91416259763,40892.608834664214,42814.0,2021-01-05 21:00:00
63,2021-01-13 21:00:00,39760.83372191377,37832.1048014847,41589.6725362179,38387.0,2021-01-05 21:00:00
64,2021-01-14 00:00:00,38256.17285998189,36424.566485885065,40177.74445819477,34698.0,2021-01-05 21:00:00
65,2021-01-14 03:00:00,38476.91153592901,36450.974419651,40475.14246356249,33837.0,2021-01-05 21:00:00
66,2021-01-14 06:00:00,38406.15962962779,36467.01829260525,40412.71284347338,41794.0,2021-01-05 21:00:00
67,2021-01-14 09:00:00,38395.33509282795,36199.862106357235,40421.85455532079,40046.0,2021-01-05 21:00:00
68,2021-01-14 12:00:00,37747.86544732937,35664.660501014725,39845.42238872834,36751.0,2021-01-05 21:00:00
69,2021-01-14 15:00:00,37468.86856053127,35459.74421689032,39554.931693109356,37100.0,2021-01-05 21:00:00
70,2021-01-14 18:00:00,39066.52351587284,37003.57508059638,41032.54350619714,42580.0,2021-01-05 21:00:00
71,2021-01-14 21:00:00,39970.92090277213,37942.50335544828,42045.63264556018,38069.0,2021-01-05 21:00:00
72,2021-01-15 00:00:00,38270.286739430056,36295.576114918236,40292.78733823206,34199.0,2021-01-05 21:00:00
73,2021-01-15 03:00:00,38422.565079132684,36347.95200492929,40329.79267995873,33342.0,2021-01-05 21:00:00
74,2021-01-15 06:00:00,38876.78565074018,36848.92976829775,40886.305042243504,41517.0,2021-01-05 21:00:00
75,2021-01-15 09:00:00,38564.53981596914,36633.514813503265,40563.55763831028,39974.0,2021-01-05 21:00:00
76,2021-01-15 12:00:00,37878.17835717701,35956.45307862241,39853.718280584944,36517.0,2021-01-05 21:00:00
77,2021-01-15 15:00:00,37537.25979093798,35710.28935280994,39566.156465495056,36350.0,2021-01-05 21:00:00
78,2021-01-15 18:00:00,39395.50224246185,37378.93498575327,41531.306320059855,42911.0,2021-01-05 21:00:00
79,2021-01-15 21:00:00,40171.24389451339,38202.51383270186,42270.196784747444,38861.0,2021-01-05 21:00:00
80,2021-01-16 00:00:00,37344.92760272164,35397.657950107154,39485.857351186074,36233.0,2021-01-05 21:00:00
81,2021-01-16 03:00:00,37490.585520834225,35549.75498713498,39603.912142288405,35958.0,2021-01-05 21:00:00
82,2021-01-16 06:00:00,37216.93041517728,35107.84752831027,39164.056533377814,41912.0,2021-01-05 21:00:00
83,2021-01-16 09:00:00,36709.35558505513,34751.59400076312,38723.30832845199,37588.0,2021-01-05 21:00:00
84,2021-01-16 12:00:00,36221.75386309729,34310.91076770468,38310.88707632513,33825.0,2021-01-05 21:00:00
85,2021-01-16 15:00:00,36026.81803882463,33983.991828547296,38040.52559985699,32797.0,2021-01-05 21:00:00
86,2021-01-16 18:00:00,38362.86988784569,36332.98862279096,40419.64645474056,40658.0,2021-01-05 21:00:00
87,2021-01-16 21:00:00,39267.91223520381,37385.6976708451,41375.97224659941,38947.0,2021-01-05 21:00:00
88,2021-01-17 00:00:00,36508.73989778451,34467.92151610455,38684.13043982437,34658.0,2021-01-05 21:00:00
89,2021-01-17 03:00:00,36633.19912222223,34570.16742017559,38617.18911497027,32916.0,2021-01-05 21:00:00
