,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-01-06 00:00:00,38901.37763186962,36778.65669923761,41135.061358194245,40627.0,2021-01-05 21:00:00
1,2021-01-06 03:00:00,38933.7226217422,36668.87632819995,41245.114120419115,40429.0,2021-01-05 21:00:00
2,2021-01-06 06:00:00,38962.46339913432,36754.269034344376,41308.57944553596,42589.0,2021-01-05 21:00:00
3,2021-01-06 09:00:00,38521.59899663698,36102.99583482699,40817.899297483375,40221.0,2021-01-05 21:00:00
4,2021-01-06 12:00:00,37826.44104426382,35642.64356996314,40206.53181408983,39682.0,2021-01-05 21:00:00
5,2021-01-06 15:00:00,37561.52181355817,35280.88527592963,39897.52765120114,39744.0,2021-01-05 21:00:00
6,2021-01-06 18:00:00,39716.18837502464,37494.52333970506,41871.365316915704,42809.0,2021-01-05 21:00:00
7,2021-01-06 21:00:00,40631.36761673277,38410.86857133147,42919.27724315024,42113.0,2021-01-05 21:00:00
8,2021-01-07 00:00:00,39081.834178106044,36878.03661570805,41193.03109857981,40411.0,2021-01-05 21:00:00
9,2021-01-07 03:00:00,39163.86872192447,36922.04343814335,41382.05238017943,40352.0,2021-01-05 21:00:00
10,2021-01-07 06:00:00,39278.8249788994,36809.60658579367,41337.12397005107,42258.0,2021-01-05 21:00:00
11,2021-01-07 09:00:00,39019.58124921261,36739.29482785604,41238.2830613484,42660.0,2021-01-05 21:00:00
12,2021-01-07 12:00:00,38427.181347774385,36252.534391807356,40859.66389830043,41528.0,2021-01-05 21:00:00
13,2021-01-07 15:00:00,38062.86152855774,35897.74056122513,40249.377673225565,41394.0,2021-01-05 21:00:00
14,2021-01-07 18:00:00,39916.0093409113,37609.77851609168,42173.94697127628,42342.0,2021-01-05 21:00:00
15,2021-01-07 21:00:00,40626.54169698563,38432.879021677276,42801.45726984825,41386.0,2021-01-05 21:00:00
16,2021-01-08 00:00:00,38978.404598133304,36855.81460885712,41468.678937852615,41418.0,2021-01-05 21:00:00
17,2021-01-08 03:00:00,39209.02584084649,36995.13143723386,41486.14782161274,41335.0,2021-01-05 21:00:00
18,2021-01-08 06:00:00,39440.964526971205,37229.96711636785,41647.868295978595,44002.0,2021-01-05 21:00:00
19,2021-01-08 09:00:00,39138.268903924094,36717.14087961303,41471.873288886745,42819.0,2021-01-05 21:00:00
20,2021-01-08 12:00:00,38465.87782906889,36229.12248616167,40657.461262507306,41561.0,2021-01-05 21:00:00
21,2021-01-08 15:00:00,38030.93479019576,35721.88980955838,40325.76931198359,41285.0,2021-01-05 21:00:00
22,2021-01-08 18:00:00,39863.307151046756,37730.130730650686,42075.06773364455,43982.0,2021-01-05 21:00:00
23,2021-01-08 21:00:00,40300.19850125887,38048.43142304315,42435.10473594238,42874.0,2021-01-05 21:00:00
24,2021-01-09 00:00:00,38080.50111481527,35914.352930474844,40421.49300236946,39785.0,2021-01-05 21:00:00
25,2021-01-09 03:00:00,37482.36243343803,35299.90349269088,39913.17976699055,39584.0,2021-01-05 21:00:00
26,2021-01-09 06:00:00,37075.152013484825,34879.4419747453,39398.14395454225,41612.0,2021-01-05 21:00:00
27,2021-01-09 09:00:00,36583.78451954853,34330.01474538633,38987.61811647029,39508.0,2021-01-05 21:00:00
28,2021-01-09 12:00:00,36126.36045664223,33818.575837682016,38413.98487356232,38656.0,2021-01-05 21:00:00
29,2021-01-09 15:00:00,36002.05022868656,33694.379239325935,38340.75123327863,38531.0,2021-01-05 21:00:00
30,2021-01-09 18:00:00,37998.39535925326,35778.223316295174,40628.65303930176,41921.0,2021-01-05 21:00:00
31,2021-01-09 21:00:00,38446.37625379463,36212.13283012087,40697.48406662808,41212.0,2021-01-05 21:00:00
32,2021-01-10 00:00:00,36403.581884410516,34086.15205175467,38671.29551630336,38029.0,2021-01-05 21:00:00
33,2021-01-10 03:00:00,35880.79859520979,33598.24797353266,37933.56972474777,37803.0,2021-01-05 21:00:00
34,2021-01-10 06:00:00,35469.71730178714,33300.64331179554,37818.85626564591,39677.0,2021-01-05 21:00:00
35,2021-01-10 09:00:00,34776.97780303772,32589.33384937903,37031.43746102006,36542.0,2021-01-05 21:00:00
36,2021-01-10 12:00:00,33901.4443662426,31732.004770501924,36245.71255031432,35960.0,2021-01-05 21:00:00
37,2021-01-10 15:00:00,33667.27211103383,31503.806043399247,35913.08967613615,35731.0,2021-01-05 21:00:00
38,2021-01-10 18:00:00,36240.97173329062,33874.17340072201,38425.08517421983,39789.0,2021-01-05 21:00:00
39,2021-01-10 21:00:00,38182.559469319014,36049.219927021215,40431.92913115761,39481.0,2021-01-05 21:00:00
40,2021-01-11 00:00:00,37639.84826305145,35453.154250223335,39910.83236604566,41079.0,2021-01-05 21:00:00
41,2021-01-11 03:00:00,38593.92816932579,36523.33417805795,40855.66649850937,40168.0,2021-01-05 21:00:00
42,2021-01-11 06:00:00,38969.92758934402,36750.05070959432,41376.42742789516,50060.0,2021-01-05 21:00:00
43,2021-01-11 09:00:00,38516.920905598716,36300.526192403544,40779.80900367739,40404.0,2021-01-05 21:00:00
44,2021-01-11 12:00:00,37772.67609112356,35339.78534071887,39994.17974124411,35639.0,2021-01-05 21:00:00
45,2021-01-11 15:00:00,37373.08505723892,35136.99688239997,39755.281677506064,34569.0,2021-01-05 21:00:00
46,2021-01-11 18:00:00,39644.90279348693,37304.29076792667,41898.501650996186,50269.0,2021-01-05 21:00:00
47,2021-01-11 21:00:00,40723.92830845612,38553.71254513399,43080.09323360353,46104.0,2021-01-05 21:00:00
48,2021-01-12 00:00:00,39249.97648943713,36896.221986743236,41370.15172972086,39766.0,2021-01-05 21:00:00
49,2021-01-12 03:00:00,39477.15757602384,37204.57794414535,41756.71147697572,38376.0,2021-01-05 21:00:00
50,2021-01-12 06:00:00,39607.23535384179,37372.38639357448,41917.51922433692,46152.0,2021-01-05 21:00:00
51,2021-01-12 09:00:00,39336.66371474637,37131.23132958212,41681.05223644244,45423.0,2021-01-05 21:00:00
52,2021-01-12 12:00:00,39190.27899976987,37113.06543868099,41563.36914831764,41776.0,2021-01-05 21:00:00
53,2021-01-12 15:00:00,38888.563369320764,36676.43585333415,41218.48605170872,41154.0,2021-01-05 21:00:00
54,2021-01-12 18:00:00,40545.0091272686,38326.03327539553,42795.72184322386,45633.0,2021-01-05 21:00:00
55,2021-01-12 21:00:00,41325.86815188618,38833.46803068737,43559.40541401624,40407.0,2021-01-05 21:00:00
56,2021-01-13 00:00:00,39598.90571110367,37389.28576966105,41986.60412433037,36013.0,2021-01-05 21:00:00
57,2021-01-13 03:00:00,39789.90058198289,37444.84488185321,42107.57046602927,34741.0,2021-01-05 21:00:00
58,2021-01-13 06:00:00,39798.58125172459,37586.55737808101,42340.66939450473,41930.0,2021-01-05 21:00:00
59,2021-01-13 09:00:00,39251.956481288355,36944.84730481575,41395.24997469034,39307.0,2021-01-05 21:00:00
60,2021-01-13 12:00:00,38445.96932982457,36078.555418039614,40882.089015559155,35460.0,2021-01-05 21:00:00
61,2021-01-13 15:00:00,38694.314530651354,36338.89697029561,41011.32076781202,35807.0,2021-01-05 21:00:00
62,2021-01-13 18:00:00,40419.95323379824,38239.28675907895,42602.07664331043,42814.0,2021-01-05 21:00:00
63,2021-01-13 21:00:00,41553.48075232091,39349.69855521042,43796.61327586618,38387.0,2021-01-05 21:00:00
64,2021-01-14 00:00:00,40165.72031138833,38029.04384918675,42442.02127541985,34698.0,2021-01-05 21:00:00
65,2021-01-14 03:00:00,40187.88423063162,37963.84050136802,42419.96122478953,33837.0,2021-01-05 21:00:00
66,2021-01-14 06:00:00,40307.60666751294,38140.94149451379,42640.21196118706,41794.0,2021-01-05 21:00:00
67,2021-01-14 09:00:00,39904.84031595683,37575.36631168125,42210.20004593641,40046.0,2021-01-05 21:00:00
68,2021-01-14 12:00:00,39388.3982771768,37019.24518564413,41649.101321146794,36751.0,2021-01-05 21:00:00
69,2021-01-14 15:00:00,39576.62703825456,37371.749088870856,41943.7023082422,37100.0,2021-01-05 21:00:00
70,2021-01-14 18:00:00,40990.02897304775,38674.28549541204,43092.46984546227,42580.0,2021-01-05 21:00:00
71,2021-01-14 21:00:00,41912.54805330378,39535.87812087759,44204.17480358976,38069.0,2021-01-05 21:00:00
72,2021-01-15 00:00:00,40335.993926933515,38164.899308572654,42584.02614790846,34199.0,2021-01-05 21:00:00
73,2021-01-15 03:00:00,40598.58064437768,38477.50463261937,42733.57936702839,33342.0,2021-01-05 21:00:00
74,2021-01-15 06:00:00,40865.43583158652,38553.134288170004,43237.380125671916,41517.0,2021-01-05 21:00:00
75,2021-01-15 09:00:00,40647.212140148724,38524.34684400777,43009.132372332075,39974.0,2021-01-05 21:00:00
76,2021-01-15 12:00:00,39963.09917550553,37712.93791768355,42151.0866713666,36517.0,2021-01-05 21:00:00
77,2021-01-15 15:00:00,39523.18912130059,37314.592644344695,41723.35432143297,36350.0,2021-01-05 21:00:00
78,2021-01-15 18:00:00,41223.33973693314,39030.28841938061,43468.8411028696,42911.0,2021-01-05 21:00:00
79,2021-01-15 21:00:00,41901.0969560744,39686.52468455785,44113.06700850724,38861.0,2021-01-05 21:00:00
80,2021-01-16 00:00:00,40111.84652882474,38038.74661575973,42421.46678780163,36233.0,2021-01-05 21:00:00
81,2021-01-16 03:00:00,39621.983419777156,37203.05296344132,41837.13756881583,35958.0,2021-01-05 21:00:00
82,2021-01-16 06:00:00,39237.84906163826,37131.424737580885,41775.25862969033,41912.0,2021-01-05 21:00:00
83,2021-01-16 09:00:00,38828.805254273255,36757.8114342127,41146.17436926001,37588.0,2021-01-05 21:00:00
84,2021-01-16 12:00:00,38295.46644195049,36075.06755183541,40601.64569940577,33825.0,2021-01-05 21:00:00
85,2021-01-16 15:00:00,38228.26547109621,35978.7842143492,40321.20261612402,32797.0,2021-01-05 21:00:00
86,2021-01-16 18:00:00,40065.64420217689,37714.95251791105,42225.339654394775,40658.0,2021-01-05 21:00:00
87,2021-01-16 21:00:00,40901.714222060036,38804.421732052666,43129.619413180844,38947.0,2021-01-05 21:00:00
88,2021-01-17 00:00:00,38848.264591143205,36438.33890722621,41188.93839994748,34658.0,2021-01-05 21:00:00
89,2021-01-17 03:00:00,38472.431268646265,36135.318289404655,40642.26193822228,32916.0,2021-01-05 21:00:00
