,ds,y,weather_pc,weather_pc2,visibility,is_winter,is_summer,is_spring_fall
56,2021-12-24 21:00:00,36967.0,-13289.842277353613,1855.0052613373746,11790.0,1,0,0
57,2021-12-24 18:00:00,39087.0,-8690.00010195317,1798.5692778037837,16390.0,1,0,0
58,2021-12-24 15:00:00,30761.0,27219.25968630484,1571.3010292455983,52300.0,1,0,0
59,2021-12-24 12:00:00,31880.0,12778.57010357293,1431.5406699255504,37860.0,1,0,0
60,2021-12-24 09:00:00,35577.0,868.2284675000042,1365.5599376851762,25950.0,1,0,0
61,2021-12-24 06:00:00,39458.0,3297.8936424486615,1309.9548895821858,28380.0,1,0,0
62,2021-12-24 03:00:00,32574.0,4776.8573533772105,1077.2595370305148,29860.0,1,0,0
63,2021-12-24 00:00:00,33544.0,-1484.2180926951253,866.3292504977092,23600.0,1,0,0
64,2021-12-23 21:00:00,38446.0,5624.824081141776,648.1512582732951,30710.0,1,0,0
65,2021-12-23 18:00:00,42208.0,9944.437624941811,553.5542054833758,35030.0,1,0,0
66,2021-12-23 15:00:00,33889.0,16054.456682306298,557.321485681079,41140.0,1,0,0
67,2021-12-23 12:00:00,34278.0,-6695.785670535744,512.5303645148156,18390.0,1,0,0
68,2021-12-23 09:00:00,39084.0,-7566.255568592113,384.3166895640562,17520.0,1,0,0
69,2021-12-23 06:00:00,42413.0,-8945.879707919883,486.39485016425675,16140.0,1,0,0
70,2021-12-23 03:00:00,35152.0,-8226.308344624038,391.2740782609871,16860.0,1,0,0
71,2021-12-23 00:00:00,36012.0,-8206.265525940758,386.164371004732,16880.0,1,0,0
72,2021-12-22 21:00:00,45114.0,-11516.410456629408,366.05636497696867,13570.0,1,0,0
73,2021-12-22 18:00:00,49832.0,-12146.495959372687,342.0986643532535,12940.0,1,0,0
74,2021-12-22 15:00:00,30848.0,-6876.368534031806,385.6055750668628,18210.0,1,0,0
75,2021-12-22 12:00:00,32388.0,-17637.29132928275,194.89966377666073,7450.0,1,0,0
76,2021-12-22 09:00:00,38305.0,-18228.215152956556,-11.762454735068825,6860.0,1,0,0
77,2021-12-22 06:00:00,50290.0,-21397.72183076132,115.72206098446053,3690.0,1,0,0
78,2021-12-22 03:00:00,39463.0,-21587.78170576906,93.44326202080488,3500.0,1,0,0
79,2021-12-22 00:00:00,40566.0,-24087.98432518333,38.48584525935471,1000.0,1,0,0
80,2021-12-21 21:00:00,43053.0,-22847.82483413344,58.12572815365825,2240.0,1,0,0
81,2021-12-21 18:00:00,46661.0,-19198.007102176412,1.6505303702918013,5890.0,1,0,0
82,2021-12-21 15:00:00,38310.0,-15987.095360549121,177.00416677777466,9100.0,1,0,0
83,2021-12-21 12:00:00,39493.0,-14217.59836581375,45.139321576870614,10870.0,1,0,0
84,2021-12-21 09:00:00,44621.0,-21598.02554743332,-40.05487480069625,3490.0,1,0,0
85,2021-12-21 06:00:00,46312.0,-21747.62485223601,60.14050486100421,3340.0,1,0,0
86,2021-12-21 03:00:00,38413.0,-20827.779195037794,7.778734300906342,4260.0,1,0,0
87,2021-12-21 00:00:00,38861.0,-24878.213237506443,-80.65343246680555,210.0,1,0,0
88,2021-12-20 21:00:00,43017.0,-24928.37321346189,-130.74241616736217,160.0,1,0,0
89,2021-12-20 18:00:00,46116.0,-24298.644375937827,-188.95865294866164,790.0,1,0,0
90,2021-12-20 15:00:00,38055.0,-17638.7637960615,-239.91209332335777,7450.0,1,0,0
91,2021-12-20 12:00:00,39297.0,-21268.96627478588,-325.72096472957514,3820.0,1,0,0
92,2021-12-20 09:00:00,43092.0,-23909.020033981073,-370.56247170047504,1180.0,1,0,0
93,2021-12-20 06:00:00,45186.0,-24738.56121861963,-271.82255154008345,350.0,1,0,0
94,2021-12-20 03:00:00,37351.0,-20838.958811431276,-383.44076341405867,4250.0,1,0,0
95,2021-12-20 00:00:00,37864.0,-24849.011092389523,-401.18383069242407,240.0,1,0,0
96,2021-12-19 21:00:00,39103.0,-21109.468111759455,-509.11242262088837,3980.0,1,0,0
97,2021-12-19 18:00:00,39459.0,-16549.71921848025,-552.0479028239271,8540.0,1,0,0
98,2021-12-19 15:00:00,35716.0,-14110.09724678561,-625.6529473558893,10980.0,1,0,0
99,2021-12-19 12:00:00,36018.0,-14661.38144893078,-918.7697930045931,10430.0,1,0,0
100,2021-12-19 09:00:00,36735.0,-23352.474507520757,-1131.323340017618,1740.0,1,0,0
101,2021-12-19 06:00:00,39394.0,-24802.490492407414,-1118.6451509577296,290.0,1,0,0
102,2021-12-19 03:00:00,37302.0,-24953.176183642285,-1252.04093029465,140.0,1,0,0
103,2021-12-19 00:00:00,37494.0,-24483.69571715013,-1354.623976379268,610.0,1,0,0
104,2021-12-18 21:00:00,39749.0,-22003.97252862458,-1406.74101322755,3090.0,1,0,0
105,2021-12-18 18:00:00,40381.0,-13953.574981015097,-1330.9218433120436,11140.0,1,0,0
106,2021-12-18 15:00:00,36569.0,-4813.255279059623,-1288.343904271227,20280.0,1,0,0
107,2021-12-18 12:00:00,37009.0,-5523.925172257597,-1449.0434929946125,19570.0,1,0,0
108,2021-12-18 09:00:00,38298.0,-24073.865193923215,-1411.6274917869634,1020.0,1,0,0
109,2021-12-18 06:00:00,40233.0,-24543.56215970341,-1342.4145214187388,550.0,1,0,0
110,2021-12-18 03:00:00,37870.0,-24363.190319253277,-1282.385805091243,730.0,1,0,0
111,2021-12-18 00:00:00,38039.0,-20382.85437502754,-1243.1490230377935,4710.0,1,0,0
112,2021-12-17 21:00:00,42476.0,-17352.454530303614,-1181.3008359857424,7740.0,1,0,0
113,2021-12-17 18:00:00,43699.0,-19472.106421480865,-1106.2998027373353,5620.0,1,0,0
114,2021-12-17 15:00:00,40747.0,-15022.336097485733,-1150.9007385281752,10070.0,1,0,0
115,2021-12-17 12:00:00,41125.0,-11232.879544668756,-1293.3597089362818,13860.0,1,0,0
116,2021-12-17 09:00:00,42675.0,-17083.313066181563,-1379.9693302635749,8010.0,1,0,0
117,2021-12-17 06:00:00,43677.0,-16533.362563784,-1358.9309278886728,8560.0,1,0,0
118,2021-12-17 03:00:00,40644.0,-15154.007182926294,-1475.5153833122504,9940.0,1,0,0
119,2021-12-17 00:00:00,40769.0,-14654.65638949866,-1607.7474114642434,10440.0,1,0,0
120,2021-12-16 21:00:00,42165.0,-11825.166038091073,-1708.5489676232444,13270.0,1,0,0
121,2021-12-16 18:00:00,43453.0,-535.4476824331917,-1777.0215994403022,24560.0,1,0,0
122,2021-12-16 15:00:00,40555.0,-5375.055422452564,-1676.5891395965093,19720.0,1,0,0
123,2021-12-16 12:00:00,40852.0,1884.4278862681183,-1822.9773769885953,26980.0,1,0,0
124,2021-12-16 09:00:00,42263.0,-9525.747261349858,-1841.1602074388347,15570.0,1,0,0
125,2021-12-16 06:00:00,43170.0,-15005.065542923605,-1653.7601412332533,10090.0,1,0,0
126,2021-12-16 03:00:00,40120.0,-10304.567391464898,-1561.2852674891485,14790.0,1,0,0
127,2021-12-16 00:00:00,40227.0,-9934.47163393956,-1545.151773789355,15160.0,1,0,0
128,2021-12-15 21:00:00,40707.0,-6674.19016345789,-1490.6261699989072,18420.0,1,0,0
129,2021-12-15 18:00:00,41986.0,586.0791906049762,-1445.8162001900134,25680.0,1,0,0
130,2021-12-15 15:00:00,38847.0,4106.285523000351,-1398.9352166494357,29200.0,1,0,0
131,2021-12-15 12:00:00,39050.0,-5324.141751090727,-1490.8427746913956,19770.0,1,0,0
132,2021-12-15 09:00:00,40547.0,-18774.194165990095,-1482.1719958616047,6320.0,1,0,0
133,2021-12-15 06:00:00,41609.0,-19053.573161447675,-1308.294088719559,6040.0,1,0,0
134,2021-12-15 03:00:00,38681.0,-24693.581789233845,-1290.5384846435613,400.0,1,0,0
135,2021-12-15 00:00:00,38796.0,-24983.76949899074,-1311.5054656325176,110.0,1,0,0
136,2021-12-14 21:00:00,40518.0,-24683.733570803044,-1301.7788058435385,410.0,1,0,0
137,2021-12-14 18:00:00,41722.0,-20703.88270171163,-1310.204051071336,4390.0,1,0,0
138,2021-12-14 15:00:00,38751.0,14495.974518848016,-1387.4128723170184,39590.0,1,0,0
139,2021-12-14 12:00:00,39123.0,-10464.362879732062,-1419.7181726629578,14630.0,1,0,0
140,2021-12-14 09:00:00,40720.0,-20564.475987782185,-1441.0215993836023,4530.0,1,0,0
141,2021-12-14 06:00:00,41644.0,-24743.24450129962,-1162.3907545814789,350.0,1,0,0
142,2021-12-14 03:00:00,38584.0,-24902.902351732104,-1104.0274742089684,190.0,1,0,0
143,2021-12-14 00:00:00,38632.0,-24982.226092765035,-988.5028329939117,110.0,1,0,0
144,2021-12-13 21:00:00,38908.0,-24821.72909245291,-904.1301936830083,270.0,1,0,0
145,2021-12-13 18:00:00,39948.0,-12571.090279697493,-802.8311591644056,12520.0,1,0,0
146,2021-12-13 15:00:00,36918.0,14939.512316107835,-736.7720357537393,40030.0,1,0,0
147,2021-12-13 12:00:00,37293.0,-8020.312481667626,-701.2741501837681,17070.0,1,0,0
148,2021-12-13 09:00:00,38613.0,-24530.682393011582,-747.0744097030539,560.0,1,0,0
