,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,9 days 00:00:00,45288.20137575388,212.81024734667707,172.6922388663112,0.10444266014481358,0.09652912141788242,0.1046629554707246,0.6146313364055295
1,9 days 03:00:00,45817.115420932256,214.0493294101438,173.87948733319104,0.10514144905594397,0.09700523380717191,0.10541390480092616,0.6105990783410135
2,9 days 06:00:00,46217.851090878925,214.98337398710376,174.87385876966027,0.10562116186902187,0.0971608346171116,0.10596024038791933,0.6080069124423961
3,9 days 09:00:00,46356.21396054948,215.30493250399417,175.22399464320225,0.10584383754207631,0.0971608346171116,0.10620095570883518,0.6065668202764976
4,9 days 12:00:00,47585.3461321015,218.14065676095663,177.28753802008643,0.10721785426857604,0.09858870591903043,0.10749482228015564,0.6005184331797233
5,9 days 15:00:00,48142.283136802704,219.4134980733927,178.58691938927245,0.10795594280467773,0.09933624976733746,0.10828794599509801,0.5982142857142857
6,9 days 18:00:00,48979.92019026899,221.31407589728445,180.02493920112988,0.10890288070924291,0.09976391473581041,0.10923135831963475,0.5979262672811059
7,9 days 21:00:00,48730.29776522858,220.74940037342927,179.94361674087608,0.10900990492437988,0.10005533261413188,0.10936621929703587,0.5938940092165901
8,10 days 00:00:00,49847.825441427296,223.26626579361982,181.46960980665344,0.10983007656037036,0.0997834398892727,0.1102026721059056,0.5938940092165896
9,10 days 03:00:00,50159.83497976281,223.96391445892084,182.000681677405,0.1102133147582681,0.10005533261413188,0.11060954042820506,0.5938940092165899
10,10 days 06:00:00,50449.07641623015,224.60871847777892,182.66299278876525,0.11054263696239577,0.10014365061915523,0.11099803836888257,0.5938940092165899
11,10 days 09:00:00,50563.861959995986,224.86409664505356,182.94710370333715,0.11071477852948573,0.10014365061915523,0.1111604247978631,0.5941820276497696
12,10 days 12:00:00,51874.278412669875,227.75925538311253,185.017455915997,0.1121526091957476,0.10088101904895924,0.11242775045678965,0.590149769585253
13,10 days 15:00:00,52417.147946231125,228.94791535681458,186.29301655616663,0.1129123206261159,0.10110742676441714,0.11317343468850234,0.5898617511520734
14,10 days 18:00:00,53151.90252421691,230.54696381478743,187.61631521840377,0.11375149153729852,0.10188587880003894,0.11398918827887483,0.5878456221198153
15,10 days 21:00:00,52673.63917199016,229.50738369819425,187.17317795139405,0.11367997964248186,0.10143777993877766,0.11392101108344373,0.5861175115207369
16,11 days 00:00:00,53562.65275519314,231.43606623686193,188.38633812610445,0.11431403661552184,0.10211576408593415,0.1145509796861322,0.5841013824884789
17,11 days 03:00:00,53687.54408950349,231.70572735585,188.7563385829312,0.11458223369308572,0.1024506305194881,0.11479032752678138,0.5820852534562208
18,11 days 06:00:00,53958.78988032264,232.29031378928102,189.65201866278764,0.11505875642363926,0.1024506305194881,0.11525441629988058,0.5800691244239629
19,11 days 09:00:00,54233.425183358864,232.88071020022002,190.5072959019126,0.1155522869618782,0.10270909456622307,0.11572256198880901,0.5780529953917051
20,11 days 12:00:00,55463.5252124568,235.506953639286,192.4110563705155,0.11677384557911252,0.10299711698576403,0.11672781697734498,0.5734447004608295
21,11 days 15:00:00,56307.83623306779,237.29272267195174,193.97860476885427,0.117726669047578,0.1033093428050352,0.11757447664376289,0.5688364055299541
22,11 days 18:00:00,57444.48438069301,239.67579014304513,195.7379718961343,0.1189224871938041,0.10436642747333949,0.11860458327766564,0.566820276497696
23,11 days 21:00:00,57165.1342182057,239.0923131725604,195.41459748484897,0.1188655246131111,0.10362432240762856,0.11854777349885318,0.5673963133640552
