,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,9 days 00:00:00,29795.368583210093,172.61334995651436,130.84632044798184,0.07617696685559375,0.06214327309275365,0.0765939154391435,0.8104838709677422
1,9 days 03:00:00,30139.69771971307,173.60788495835396,131.69267619552159,0.07669599501336964,0.06329379652046169,0.07706081065719705,0.8061635944700458
2,9 days 06:00:00,30292.628698834847,174.04777705801027,132.23023957288981,0.0770105366805539,0.0641124767869152,0.07734203947204318,0.8078917050691243
3,9 days 09:00:00,30413.983006666018,174.3960521533272,132.54932809340986,0.07725112537019477,0.0641124767869152,0.07751337022423274,0.8041474654377879
4,9 days 12:00:00,30520.95512781524,174.70247602084876,132.61150888738445,0.07738113982998542,0.0644345251517434,0.07756394236201199,0.8021313364055298
5,9 days 15:00:00,30273.48994301888,173.99278704308085,131.8822578487956,0.07690101535131526,0.0641124767869152,0.077082288265747,0.803859447004608
6,9 days 18:00:00,30330.6655426432,174.15701404951568,131.9329503918579,0.07699064391370918,0.0641124767869152,0.07714066858227567,0.803859447004608
7,9 days 21:00:00,29857.06929059242,172.79198271503344,130.92271022836064,0.07655837630935437,0.06329379652046169,0.07664541473218034,0.8058755760368662
8,10 days 00:00:00,30986.496483466453,176.0298170295773,133.14800262365281,0.07777514267670216,0.0641124767869152,0.07778272002744878,0.8018433179723499
9,10 days 03:00:00,31131.78999901299,176.4420301374165,133.66874544447424,0.07807588575580056,0.06472978227202639,0.07803389775171463,0.7998271889400922
10,10 days 06:00:00,31268.893454639005,176.83012598151652,134.220130811703,0.07833211272140261,0.0650756330137931,0.07827803420516995,0.8001152073732717
11,10 days 09:00:00,31364.72112837291,177.10087839526068,134.67499819767417,0.07866274112487424,0.06542160568433408,0.07853786315958856,0.7980990783410135
12,10 days 12:00:00,31498.82127463654,177.47907277940274,134.8798525617562,0.07892325279809571,0.0650756330137931,0.07869112168667866,0.7980990783410135
13,10 days 15:00:00,31231.052657541542,176.72309599353883,134.15575000580338,0.07848420674423165,0.0650756330137931,0.07822645808619477,0.8018433179723503
14,10 days 18:00:00,31223.972718774938,176.70306369379944,134.15880548622937,0.07852844420030422,0.0650756330137931,0.07825313467511394,0.8021313364055298
15,10 days 21:00:00,30623.782569508214,174.99652159259685,133.1680997136349,0.07808431539057611,0.0648811001434133,0.07775211274675367,0.8041474654377876
16,11 days 00:00:00,31497.00845825237,177.47396557876417,135.1519821661126,0.0791308785296807,0.06652982978182628,0.07874239477426284,0.7998271889400922
17,11 days 03:00:00,31403.53387528617,177.21042259214374,135.32007886264904,0.07929728526696125,0.06652982978182628,0.07883414381405188,0.7998271889400917
18,11 days 06:00:00,31393.49108375247,177.18208454511554,135.56614791430863,0.0794760449651321,0.06665012460438288,0.07896785014421784,0.8021313364055294
19,11 days 09:00:00,31291.376651885366,176.8936874280294,135.54100668420315,0.07952236677029693,0.06665012460438288,0.07895938719848711,0.8041474654377878
20,11 days 12:00:00,31538.826553478542,177.59174123105652,136.08445183279517,0.07996274989498806,0.06670131453769253,0.07930587557731394,0.8018433179723504
21,11 days 15:00:00,31423.69964787864,177.26731127841546,135.74575121453904,0.07979310237019782,0.06631983017917722,0.07908377459149828,0.8012672811059909
22,11 days 18:00:00,31598.412124411094,177.75942204117084,136.01018803057465,0.080055861375233,0.06631983017917722,0.07927877327468563,0.8018433179723503
23,11 days 21:00:00,31214.706293999046,176.67684141957895,135.39072012054027,0.07978776955467104,0.06677097733718623,0.07897672518704729,0.8032834101382494
24,12 days 00:00:00,32053.956374098023,179.0361873312153,137.17642006906024,0.08069094085933222,0.06677097733718623,0.07984154115104386,0.7957949308755764
25,12 days 03:00:00,32127.339405268056,179.2410092731796,137.47401280215763,0.08092063485469962,0.06717029728654851,0.08002158928013092,0.7957949308755761
26,12 days 06:00:00,32201.205103740172,179.4469423081379,137.9242021630692,0.08119416644952414,0.06798356324621614,0.08026821048208346,0.7957949308755762
27,12 days 09:00:00,32120.90323955498,179.22305443093805,137.8380473426026,0.08114995501387037,0.06687701849475908,0.0801989229123753,0.7978110599078341
28,12 days 12:00:00,32056.355176089266,179.04288641576707,137.76643009218864,0.08107352432429721,0.06717029728654851,0.08012615872925233,0.7998271889400925
29,12 days 15:00:00,31851.696066827528,178.47043471350523,137.21722909320897,0.08064393174999707,0.067175535749841,0.07972334496350444,0.803283410138249
30,12 days 18:00:00,31824.86432969064,178.3952474974898,137.23475119656536,0.08061624015349687,0.06766471835922827,0.07972348126514923,0.8038594470046087
31,12 days 21:00:00,31492.61847973379,177.46159719706623,136.46040025528035,0.0802424450274355,0.06692608112509543,0.07932637796051353,0.8052995391705069
32,13 days 00:00:00,31958.123149586885,178.76835052544084,137.49428518937097,0.08084197422191691,0.067175535749841,0.07985550333839292,0.7983870967741936
33,13 days 03:00:00,31971.815678035924,178.80664327154045,137.51406666608892,0.08089108829710792,0.06766471835922827,0.0798545437098384,0.7978110599078343
34,13 days 06:00:00,31742.88267422537,178.1653239949496,137.17271369479482,0.08050834527846945,0.067175535749841,0.07951951574086705,0.7992511520737329
35,13 days 09:00:00,31506.85431789248,177.50170229575963,136.60781332766325,0.08002952492115109,0.06692608112509543,0.07906185857211141,0.80184331797235
36,13 days 12:00:00,31285.31521587002,176.87655360694367,135.97784877794118,0.07950135582732494,0.06692608112509543,0.0785700443102029,0.803283410138249
37,13 days 15:00:00,31093.16262447774,176.33253422008582,135.41250264387992,0.07909075189898526,0.06692608112509543,0.07816157766492898,0.8038594470046081
38,13 days 18:00:00,31062.45019882392,176.24542603660362,135.28160456870904,0.07897934851789551,0.06677097733718623,0.07806308928499378,0.8058755760368664
39,13 days 21:00:00,30603.014365227325,174.93717262270854,134.32949590527735,0.0784980558769951,0.06670131453769253,0.07755335774961905,0.8093317972350231
40,14 days 00:00:00,30314.426484171763,174.1103859170146,134.04029464257184,0.07848657901281895,0.06670131453769253,0.07743394469952669,0.8113479262672811
41,14 days 03:00:00,29870.046622532067,172.8295305280092,133.09242673450817,0.07802173233112372,0.06631983017917722,0.07691583537054329,0.8133640552995391
42,14 days 06:00:00,29496.64946391806,171.74588630857525,132.36177934395988,0.07758664126058486,0.06608342697332031,0.07645494870092363,0.8173963133640552
43,14 days 09:00:00,29375.011034053583,171.39139719966573,132.013869337334,0.07730171786459715,0.06564016845853826,0.07615704067355156,0.8179723502304144
44,14 days 12:00:00,29268.61857647927,171.08073701173745,131.66257732225583,0.07691663959005639,0.06513728371408355,0.0758050017369307,0.8185483870967741
45,14 days 15:00:00,29146.4929359153,170.72343991354936,131.13464818720104,0.07644084278990666,0.0650730427372828,0.07535847112922188,0.818548387096774
46,14 days 18:00:00,28914.846894989972,170.0436617313035,130.33552442735714,0.07588203987954305,0.06501338814644145,0.07484435276751349,0.8220046082949307
47,14 days 21:00:00,27455.570999532163,165.69722689149677,127.8005554804023,0.07465707794964319,0.06441605459571308,0.07356444391098942,0.8294930875576031
48,15 days 00:00:00,27148.73284408691,164.7687253215455,127.82823783830918,0.07478930331093786,0.06458318122059897,0.07362868532167152,0.8300691244239629
49,15 days 03:00:00,26770.57522079707,163.61716053274202,127.34596169410264,0.07465015667415449,0.0648811001434133,0.07343694685367984,0.8303571428571425
50,15 days 06:00:00,26428.12009042797,162.56727865849254,126.76226939669866,0.07442327514781887,0.06472978227202639,0.07315627944207014,0.8323732718894006
51,15 days 09:00:00,26326.416392794352,162.2541721891747,126.34921190119624,0.074161469260124,0.06434440284894648,0.0728625205738909,0.8326612903225804
52,15 days 12:00:00,26272.37436362236,162.08755153811893,126.06027910898536,0.07393209195465819,0.06408528342591488,0.0726279813790634,0.8326612903225808
53,15 days 15:00:00,26169.42848758813,161.76967728096676,125.45210520162847,0.07351946349233954,0.06282705598040061,0.0722049617556968,0.8326612903225812
54,15 days 18:00:00,26008.786121021334,161.2723972694067,124.6415202603762,0.0730438947488628,0.0622455755818584,0.07173751001025838,0.8326612903225804
55,15 days 21:00:00,24973.559507756665,158.0302487113042,122.32063667053794,0.07192018539035554,0.06189104289961042,0.07058838056160802,0.8378456221198153
56,16 days 00:00:00,24982.022872919526,158.0570241176251,122.9064720198371,0.07236414846584897,0.062135906311769074,0.0709645641292666,0.8361175115207373
57,16 days 03:00:00,24794.619735560475,157.46307419696998,122.61209663823318,0.07224386770103546,0.062135906311769074,0.07083191702327592,0.8395737327188941
58,16 days 06:00:00,24649.87317194806,157.00278077775585,122.16615580952416,0.07202564638012471,0.062135906311769074,0.0706017909162667,0.8407258064516128
59,16 days 09:00:00,24550.180789341684,156.68497308083403,121.79617684335656,0.07178076517006554,0.061778163493248765,0.07034777651779414,0.8421658986175116
60,16 days 12:00:00,24805.473688460275,157.49753549963972,121.99601376487666,0.0719894044749459,0.061703010450478844,0.0704771275329835,0.840725806451613
61,16 days 15:00:00,25178.09142175867,158.67605812396107,122.36572299152998,0.07233635163482957,0.061624311357252264,0.07071602637855756,0.8401497695852536
62,16 days 18:00:00,25465.838332264666,159.5801940475843,122.47110625288862,0.07255832101022434,0.06145430169859531,0.0708531845198853,0.8387096774193546
63,16 days 21:00:00,24559.68703386346,156.71530567836527,120.29581477265853,0.07146935837879421,0.06031647518893951,0.06975607897729524,0.8430299539170506
64,17 days 00:00:00,24474.480002473843,156.44321654349173,120.53999939739342,0.0716295405318625,0.06117792703382999,0.06988840637320466,0.8410138248847924
65,17 days 03:00:00,24327.56988249399,155.9729780522703,120.04861236447758,0.07134689183498036,0.060716863556611655,0.06960372863401215,0.8456221198156677
66,17 days 06:00:00,24167.339301075746,155.45848095577077,119.4134123297522,0.07098909338044304,0.06031647518893951,0.06924432476683187,0.8482142857142854
67,17 days 09:00:00,23985.840112630693,154.8736262655159,118.79246446538056,0.07058050753689289,0.060017725877479264,0.06885039786870661,0.8502304147465434
68,17 days 12:00:00,24139.523636740316,155.36899187656562,119.18517984909317,0.07084766006867872,0.06031647518893951,0.06908674842712052,0.8487903225806451
69,17 days 15:00:00,24379.773492860488,156.14023662355737,119.6625248462667,0.07118813214362027,0.06031647518893951,0.06937766110608379,0.846774193548387
70,17 days 18:00:00,24767.79012171903,157.37785778729813,120.21148097680862,0.07168006640409925,0.060017725877479264,0.06977797485489684,0.8464861751152074
71,17 days 21:00:00,23815.72306524406,154.32343653912085,117.93018948838633,0.07048484624332557,0.05892027370837793,0.0685962851454021,0.8519585253456216
72,18 days 00:00:00,24061.555216614557,155.11787523240045,118.57802110083264,0.07068060538119181,0.05966317132767138,0.06883670402845306,0.8519585253456219
73,18 days 03:00:00,23933.03861634137,154.70306595650058,118.03870957888556,0.07019430882777512,0.05892027370837793,0.06842139542573489,0.8525345622119811
74,18 days 06:00:00,23694.954377680144,153.93165489164386,117.17598576617796,0.06955051635937104,0.058256939728962044,0.06783915432846639,0.855990783410138
75,18 days 09:00:00,23392.94011781296,152.94750772017488,116.47511235341094,0.0690247198808648,0.057953163467800196,0.06737715000676832,0.8597350230414748
76,18 days 12:00:00,23398.103685114045,152.964386983095,116.81083442624292,0.06920019230810563,0.05864869871732098,0.06758507112854123,0.8600230414746537
77,18 days 15:00:00,23540.748676069732,153.42994712920205,117.13730643309538,0.06944919379603794,0.05892027370837793,0.06781523990691811,0.860599078341014
78,18 days 18:00:00,23599.908749270802,153.62261796125856,117.35343021658433,0.06960109978736828,0.05879015797204079,0.06797847327226501,0.8614631336405529
79,18 days 21:00:00,23318.550768972025,152.70412819885397,116.52267538406365,0.06904014866441394,0.058615297970853006,0.06747714454894774,0.8620391705069125
80,19 days 00:00:00,22491.291479789757,149.97096878992866,115.01249190846772,0.0681187081486627,0.058256939728962044,0.06663148946869524,0.8649193548387095
81,19 days 03:00:00,22054.79762401786,148.50857761091734,113.62263555502605,0.06737380820310243,0.05574330383211268,0.06589631028249938,0.8701036866359445
82,19 days 06:00:00,21673.078032908943,147.21779115619464,112.03206901254634,0.06650546349239755,0.05399027161087974,0.06503447062343384,0.8724078341013825
83,19 days 09:00:00,21693.02141837319,147.2855098724012,111.71552387936529,0.06640283165955245,0.05389782912988414,0.06489733043153598,0.8732718894009214
84,19 days 12:00:00,21675.793327251118,147.2270128993016,111.81036906579259,0.06650748823135486,0.05399027161087974,0.06500738108770256,0.8741359447004607
85,19 days 15:00:00,21785.01532782678,147.5974773762302,112.2835893307256,0.06684340079490078,0.05399027161087974,0.06533662455217501,0.8729838709677415
86,19 days 18:00:00,22049.261282358926,148.48993663665874,113.1212897359904,0.0674296935099379,0.05389782912988414,0.06588904410142747,0.8701036866359445
87,19 days 21:00:00,22031.922905706113,148.43154282599812,112.91092893755757,0.06724330968070295,0.05389782912988414,0.06572673874455824,0.8689516129032258
88,20 days 00:00:00,21812.0814062718,147.6891377396178,112.41135864813697,0.06681557152267663,0.053619131222074845,0.06537094571455067,0.8695276497695851
89,20 days 03:00:00,21265.76641966887,145.82786571732055,111.07083494634706,0.06605457433200669,0.053307652631170474,0.0646612444230279,0.8732718894009216
90,20 days 06:00:00,21152.070971727233,145.4375156956665,110.66015087173466,0.06576260799013378,0.05305179112616855,0.06440948287530061,0.8750000000000001
91,20 days 09:00:00,21711.90122499348,147.3495884792132,111.66185364750172,0.06645622371722461,0.05305179112616855,0.06502790281545424,0.8729838709677424
92,20 days 12:00:00,21854.71270863076,147.83339510621664,112.21459647711171,0.0667910509202917,0.05305179112616855,0.06539320127178631,0.8676075268817203
93,20 days 15:00:00,22200.80205940098,148.9993357683214,113.20737863588128,0.06746667448654962,0.05486884465760318,0.06604246171260957,0.8637672811059907
94,20 days 18:00:00,22655.790521042865,150.51840592114596,114.67477600390079,0.06842827090800892,0.05515478537038154,0.06697796281013543,0.8562788018433181
95,20 days 21:00:00,22756.838706639202,150.85369967832807,114.99297938713863,0.06856307684636317,0.055250721164181976,0.067133374821085,0.856278801843318
96,21 days 00:00:00,22220.737999976358,149.06622018410596,113.70261739039802,0.06781622108437187,0.05515478537038154,0.06643905124381992,0.8620391705069124
97,21 days 03:00:00,21955.38361682262,148.17349161311756,113.10094395226777,0.06744222953011406,0.05501216333457846,0.06611042527981181,0.8623271889400923
98,21 days 06:00:00,21941.936614480368,148.1281087926271,112.94629319525224,0.06727971638641175,0.05486884465760318,0.0659881711204409,0.8623271889400922
99,21 days 09:00:00,22006.031048403234,148.34429900876958,113.09847051780032,0.06733352726693186,0.05501216333457846,0.06606445194335707,0.8608870967741935
100,21 days 12:00:00,22347.775864616786,149.49172507071015,114.0485966541118,0.06802618191982039,0.05515478537038154,0.06672804269182793,0.8548387096774194
101,21 days 15:00:00,22881.859944621207,151.26751119993085,115.40593038990488,0.06905420726702684,0.05574330383211268,0.06766877583415382,0.8487903225806449
102,21 days 18:00:00,23357.531123710258,152.83170850222888,116.75785178594444,0.07001390503759997,0.05713129185121765,0.06858127190505317,0.8421658986175117
103,21 days 21:00:00,23538.70582179774,153.42328969813462,117.20811521368222,0.07016813253680629,0.056682915742581164,0.06879522223475136,0.842165898617511
104,22 days 00:00:00,23545.712922137438,153.44612384200988,116.8567784409471,0.069818753538486,0.05574330383211268,0.06853246718041285,0.8444700460829494
105,22 days 03:00:00,23459.356927808916,153.1644767164009,116.58443816685622,0.06959994847506001,0.055295106296900515,0.06837806215442745,0.8461981566820278
106,22 days 06:00:00,23528.10754294903,153.38874646775437,116.76181419851942,0.06967808796330026,0.055157194161252046,0.06848514354496661,0.8441820276497695
