,y,weather_pc,weather_pc2,visibility,ds,is_winter,is_summer,is_spring_fall,cap,floor
5262,-0.1750466270276565,-0.4315696739423581,-0.38120944291320574,-0.43155950620054007,2020-02-24 15:00:00,1,0,0,4.915918212083008,0
5263,-0.1750466270276565,-0.4693492481576805,-0.8510844589441438,-0.4692019470005621,2020-02-24 12:00:00,1,0,0,4.915918212083008,0
5264,-0.1750466270276565,-0.6722255861648194,-1.1397498486448883,-0.6719854184071324,2020-02-24 09:00:00,1,0,0,4.915918212083008,0
5265,-0.1750466270276565,0.06174206034507028,-1.3063570429682132,0.06204217719329732,2020-02-24 06:00:00,1,0,0,4.915918212083008,0
5266,-0.1750466270276565,-0.43675985321908845,-1.4366337315509234,-0.4364165953360268,2020-02-24 03:00:00,1,0,0,4.915918212083008,0
5267,-0.1750466270276565,-1.0621698548302667,-1.6609580300098752,-1.0617668215299414,2020-02-24 00:00:00,1,0,0,4.915918212083008,0
5268,-0.3690394159786256,-1.5066352521418767,-1.802330207257647,-1.5061904774269756,2020-02-23 21:00:00,1,0,0,4.915918212083008,0
5269,-0.3690394159786256,0.1174414943477647,-1.8257156779995523,0.11789870225139454,2020-02-23 18:00:00,1,0,0,4.915918212083008,0
5270,-0.3690394159786256,0.0439700884566743,-1.8054838522772887,0.04443522907715798,2020-02-23 15:00:00,1,0,0,4.915918212083008,0
5271,-0.3690394159786256,0.006870020363234351,-2.044901418383252,0.007399924419071782,2020-02-23 12:00:00,1,0,0,4.915918212083008,0
5272,-0.3690394159786256,-0.7799812911858277,-2.0239843452244046,-0.779448515529776,2020-02-23 09:00:00,1,0,0,4.915918212083008,0
5273,-0.3690394159786256,-0.7356385510344103,-1.9211121026744031,-0.7351275771684598,2020-02-23 06:00:00,1,0,0,4.915918212083008,0
5274,-0.3690394159786256,-1.513373915106991,-1.8873488763760202,-1.51286897498827,2020-02-23 03:00:00,1,0,0,4.915918212083008,0
