,horizon,mse,rmse,mae,mdape,smape,coverage
41,9 days 20:30:00,1498892116240.929,1224292.4961956309,982604.7481005433,2.2133206438579545,1.146255305935962,0.7803557617942765
42,9 days 21:00:00,1499563075276.1235,1224566.4846287945,983064.8264730803,2.2133206438579545,1.1462552021363892,0.7803557617942762
43,9 days 21:30:00,1500230644702.9102,1224839.028077939,983515.1337037635,2.2133206438579545,1.1462552055427084,0.7803557617942769
44,9 days 22:00:00,1500923844254.014,1225121.9711743046,983966.8271592148,2.2133206438579545,1.1462552012297351,0.7803557617942765
45,9 days 22:30:00,1501656234665.7715,1225420.8398202518,984427.1265638351,2.2133206438579545,1.1462552012297325,0.780355761794277
46,9 days 23:00:00,1502420400205.3892,1225732.597349597,984897.9548347865,2.2133206438579545,1.1462552012297342,0.7803557617942771
47,9 days 23:30:00,1503192694323.4849,1226047.5905622444,985376.5387058769,2.2133206438579545,1.146255201229733,0.7803557617942769
48,10 days 00:00:00,1503947589701.6643,1226355.4092112386,985857.1703673786,2.2133206438579545,1.1462552012297336,0.7803557617942769
49,10 days 00:30:00,1504671140863.2793,1226650.3743378874,986333.5969106546,2.2133206438579545,1.1462552012297336,0.7803557617942767
50,10 days 01:00:00,1505364550823.6672,1226932.9854656558,986801.3380961759,2.2133206438579545,1.146255201229733,0.7803557617942767
51,10 days 01:30:00,1506039211034.4497,1227207.8923452415,987259.266212548,2.2133206438579545,1.1462552012297345,0.7803557617942761
52,10 days 02:00:00,1506710861884.354,1227481.5118299557,987709.9940442418,2.2133206438579545,1.1462552012297333,0.7803557617942771
53,10 days 02:30:00,1507396621130.266,1227760.8159288461,988158.9530274152,2.2133206438579545,1.1462552012297336,0.7803557617942759
54,10 days 03:00:00,1508111357960.6558,1228051.8547523373,988612.4134855283,2.2133206438579545,1.146255201229735,0.7803557617942768
55,10 days 03:30:00,1508859851144.5427,1228356.5651489566,989075.0029669969,2.2133206438579545,1.1462552012297336,0.7803557617942769
56,10 days 04:00:00,1509629305904.6692,1228669.730197936,989547.4364078748,2.2133206438579545,1.1462552079478194,0.7803557617942771
57,10 days 04:30:00,1510392163331.7751,1228980.1313820232,990025.1268145094,2.2133206438579545,1.1462552113068627,0.780355761794277
58,10 days 05:00:00,1511121529309.4976,1229276.8318444376,990498.2114810357,2.2133206438579545,1.1462554839948933,0.7803557617942775
59,10 days 05:30:00,1511812607651.7773,1229557.8911347678,990930.7962307807,2.2133206438579545,1.146262581530223,0.7803557617942762
60,10 days 06:00:00,1512516025717.7314,1229843.9029883961,991399.0272737893,2.2133206438579545,1.146398039111659,0.7803557617942768
61,10 days 06:30:00,1513350242174.3645,1230183.0116589826,991979.9015882636,2.2304251949457035,1.147036959211537,0.7803557617942766
62,10 days 07:00:00,1514154764890.0444,1230509.9613128065,992676.8323482422,2.2626957366319402,1.148340456741163,0.7803557617942767
63,10 days 07:30:00,1514447641705.214,1230628.961834238,992911.6335839992,2.2626957366319402,1.1484513283131113,0.7803557617942768
64,10 days 08:00:00,1513934213860.074,1230420.3403146723,992295.1741518036,2.2626957366319402,1.1480845624447884,0.780355761794277
65,10 days 08:30:00,1512111685031.8655,1229679.5050060262,991378.5572608593,2.2626957366319402,1.1477146555473974,0.7806135601959275
66,10 days 09:00:00,1509588190728.52,1228652.9985022296,990604.6035730771,2.2626957366319402,1.1474806950533354,0.7811291569992268
67,10 days 09:30:00,1507647637060.5725,1227863.036767771,990126.0548405518,2.2626957366319402,1.1472882957789923,0.7816447538025266
68,10 days 10:00:00,1506965664493.5613,1227585.2982557104,990102.8525044456,2.2626957366319402,1.147225532800595,0.7808713585975777
69,10 days 10:30:00,1506440303814.3054,1227371.2982689082,990089.5117768984,2.2626957366319402,1.147175634315837,0.780355761794278
70,10 days 11:00:00,1503485276706.8918,1226166.9040986598,989385.6442516297,2.2626957366319402,1.1469423300770636,0.7800979633926276
71,10 days 11:30:00,1501907893495.869,1225523.5181325036,989191.228840522,2.2626957366319402,1.1468083707109138,0.7793245681876775
72,10 days 12:00:00,1500594579328.8716,1224987.5833366115,989178.8490178897,2.2626957366319402,1.146743839024308,0.779324568187677
73,10 days 12:30:00,1498535457371.497,1224146.8283549557,989236.8333301159,2.2626957366319402,1.1466984766688235,0.7785511729827278
