,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2021-01-06 00:00:00,27077.130330007356,24684.23035895561,29838.409109503697,33130.0,2021-01-05 21:00:00
1,2021-01-06 03:00:00,25871.816754634827,23181.174613400442,28482.55898093272,32452.0,2021-01-05 21:00:00
2,2021-01-06 06:00:00,26848.939917924887,24088.594138601264,29532.364825973586,32935.0,2021-01-05 21:00:00
3,2021-01-06 09:00:00,26709.63930206974,24068.669073413337,29455.359059214472,32762.0,2021-01-05 21:00:00
4,2021-01-06 12:00:00,26711.415953940596,24082.833936203937,29250.311273700594,32792.0,2021-01-05 21:00:00
5,2021-01-06 15:00:00,25799.817365367395,23418.179206482953,28495.413752160086,32127.0,2021-01-05 21:00:00
6,2021-01-06 18:00:00,27369.468209434483,24844.59605769714,29935.821099354755,33858.0,2021-01-05 21:00:00
7,2021-01-06 21:00:00,26843.35096238705,24166.5393825413,29415.888500204626,32558.0,2021-01-05 21:00:00
8,2021-01-07 00:00:00,26087.254669992548,23239.155802210516,28741.204463521877,33143.0,2021-01-05 21:00:00
9,2021-01-07 03:00:00,24804.186167668442,22283.48870626872,27522.349307999546,32525.0,2021-01-05 21:00:00
10,2021-01-07 06:00:00,25846.35863711019,23329.61319774155,28602.445443383214,33155.0,2021-01-05 21:00:00
11,2021-01-07 09:00:00,25697.004929528226,23078.659023723878,28314.057362676038,32627.0,2021-01-05 21:00:00
12,2021-01-07 12:00:00,25854.87378783038,23258.02709241127,28516.090131514335,32205.0,2021-01-05 21:00:00
13,2021-01-07 15:00:00,24914.67029994949,22231.49505559806,27452.276155198262,31467.0,2021-01-05 21:00:00
14,2021-01-07 18:00:00,26577.28080041797,23963.337211336322,29180.73882068244,33812.0,2021-01-05 21:00:00
15,2021-01-07 21:00:00,26137.44624050516,23445.113371437466,28747.28083210453,32750.0,2021-01-05 21:00:00
16,2021-01-08 00:00:00,26051.7416343496,23517.249194525968,28905.583916587988,35289.0,2021-01-05 21:00:00
17,2021-01-08 03:00:00,24830.70479800325,22231.534021247186,27472.67019829152,34836.0,2021-01-05 21:00:00
18,2021-01-08 06:00:00,25885.422077956806,23503.657871817562,28393.566928775395,35510.0,2021-01-05 21:00:00
19,2021-01-08 09:00:00,25753.868791310266,23092.537640563896,28194.22504616897,34897.0,2021-01-05 21:00:00
20,2021-01-08 12:00:00,25940.07065709432,23282.664302481397,28626.56596967872,34300.0,2021-01-05 21:00:00
21,2021-01-08 15:00:00,24987.807317610914,22544.55444089012,27779.951863567076,33575.0,2021-01-05 21:00:00
22,2021-01-08 18:00:00,26406.287652585852,23686.52531663531,29061.58341297409,35556.0,2021-01-05 21:00:00
23,2021-01-08 21:00:00,26281.6865573599,23779.23273966028,28807.281849335457,34719.0,2021-01-05 21:00:00
24,2021-01-09 00:00:00,26211.990352322922,23602.877933312477,28749.352269101295,38605.0,2021-01-05 21:00:00
25,2021-01-09 03:00:00,25092.977759128662,22544.31310406283,27705.355647605866,37942.0,2021-01-05 21:00:00
26,2021-01-09 06:00:00,25929.325704972005,23257.186830988347,28716.560316904557,38264.0,2021-01-05 21:00:00
27,2021-01-09 09:00:00,26953.18110704912,24450.45411146926,29761.639304845594,39314.0,2021-01-05 21:00:00
28,2021-01-09 12:00:00,26875.370525413964,24267.92569353741,29339.919959088827,39205.0,2021-01-05 21:00:00
29,2021-01-09 15:00:00,25848.519507000623,23023.938216943032,28365.126662437702,38160.0,2021-01-05 21:00:00
30,2021-01-09 18:00:00,27134.339750544685,24257.44440659941,29785.792535612884,39335.0,2021-01-05 21:00:00
31,2021-01-09 21:00:00,26798.22195577616,24241.803211507497,29585.11095531909,38227.0,2021-01-05 21:00:00
32,2021-01-10 00:00:00,26078.393639426034,23465.75205428098,28970.75993355878,37810.0,2021-01-05 21:00:00
33,2021-01-10 03:00:00,24925.4838950953,22242.105701862314,27610.822690297213,37473.0,2021-01-05 21:00:00
